attack,Exact Match,F1 Score,BLEU Score,Avg Grammatical Errors,Sample Size
No Attack,1.1517950726206793e-05,0.024154382528890905,0.004005284108786294,0.23063544534156483,86821
AddAny,2.9435572889837368e-05,0.03164168119617551,0.005529971851199205,0.7957465597174185,67945
AddSent,1.4717786444918684e-05,0.03900612631358129,0.006885254656416896,1.009213334314519,67945
CEIA,0.0,0.03343694224233241,0.004411680899511421,0.7614766236513645,56724
DPAEG,1.7811659512316764e-05,0.032839898001720914,0.004309490592982661,0.7288352955844896,56143
TextFooler,1.839892550275064e-05,0.030963564427139132,0.003942377139491259,0.683096907140623,54351
