attack,Exact Match,F1 Score,BLEU Score,Avg Grammatical Errors,Sample Size
No Attack,0.0,0.03494744248046811,0.006323220840012152,1.2473364738945647,86821
AddAny,1.4717786444918684e-05,0.02737975272560318,0.004222451206537618,0.6133195967326515,67945
AddSent,0.0,0.03744256181085773,0.005281502417227407,1.8426521451173743,67945
CEIA,0.0,0.02117154873511893,0.00261252052861048,0.09919963331217826,56724
DPAEG,1.7811659512316764e-05,0.02024763640563221,0.002458716238445574,0.08170208218299699,56143
TextFooler,0.0,0.019824177938182665,0.0024306897856525202,0.14584828246030432,54351
