,Exact Match,F1 Score,BLEU Score,Avg Grammatical Errors,Exact Match Diff,F1 Score Diff,BLEU Score Diff,Avg Grammatical Errors Diff
No Attack,6.910770435724076e-05,0.0205723185795219,0.0035860236569837,-0.0942283548910977,0.0,0.0,0.0,0.0
AddAny,0.0,0.0342229476442901,0.0060990080618335,1.4320994922363677,-6.910770435724076e-05,0.013650629064768199,0.0025129844048497997,1.5263278471274653
AddSent,1.4717786444918684e-05,0.0319180323547552,0.0057897749614354,0.7135330046361027,-5.4389917912322076e-05,0.011345713775233305,0.0022037513044517003,0.8077613595272004
CEIA,7.051688879486637e-05,0.0283867608797067,0.00405799947611,0.710810239052253,1.4091844376256128e-06,0.007814442300184802,0.0004719758191263001,0.8050385939433508
DPAEG,5.3434978536950285e-05,0.0280086439621449,0.003903205475086,0.7011203533833247,-1.5672725820290475e-05,0.007436325382623003,0.0003171818181023,0.7953487082744224
TextFooler,3.679785100550128e-05,0.0274095134358512,0.003655166979407,0.7868668469761366,-3.230985335173948e-05,0.0068371948563293004,6.914332242330011e-05,0.8810952018672343
