,Exact Match,F1 Score,BLEU Score,Avg Grammatical Errors,Exact Match Diff,F1 Score Diff,BLEU Score Diff,Avg Grammatical Errors Diff
No Attack,0.048962808537105,0.8434036899764924,0.1639929457045159,0.0090070374678937,0.0,0.0,0.0,0.0
AddAny,0.0539406873206269,0.8492267252870627,0.1572237329691383,0.0054014276252851,0.004977878783521898,0.005823035310570268,-0.006769212735377589,-0.0036056098426086
AddSent,0.0536904849510633,0.8413402626344374,0.1541976666123565,0.0062697770255353,0.004727676413958298,-0.002063427342055002,-0.009795279092159381,-0.0027372604423584
CEIA,0.026496720964671,0.8620666212172634,0.1229970076788113,0.0020449897750511,-0.022466087572434002,0.018662931240771008,-0.04099593802570459,-0.0069620476928426
DPAEG,0.0216946012860018,0.7380670644967877,0.1021139843973052,0.0069999821883404,-0.027268207251103203,-0.10533662547970468,-0.0618789613072107,-0.0020070552795533004
TextFooler,0.0133944177660024,0.4924565935094415,0.0648354332872625,0.0115913230667329,-0.035568390771102604,-0.3509470964670509,-0.09915751241725339,0.002584285598839199
