,Exact Match,F1 Score,BLEU Score,Avg Grammatical Errors,Exact Match Diff,F1 Score Diff,BLEU Score Diff,Avg Grammatical Errors Diff
No Attack,0.8121191877541147,0.8947772911474375,0.2285176442376587,0.0274242406790983,0.0,0.0,0.0,0.0
AddAny,0.809581278975642,0.887708322952714,0.2128387673888409,0.0377952755905511,-0.0025379087784727083,-0.007068968194723579,-0.015678876848817802,0.010371034911452796
AddSent,0.805430863198175,0.8844603651264161,0.2108671774962407,0.0371182574140849,-0.006688324555939706,-0.010316926021021411,-0.017650466741417986,0.009694016734986599
CEIA,0.9022459629081164,0.9192266165820054,0.1715126300109556,0.0296347225160425,0.09012677515400169,0.024449325434567903,-0.057005014226703093,0.0022104818369441982
DPAEG,0.7550718700461322,0.7916772098759658,0.1422490430515841,0.084516324385943,-0.05704731770798255,-0.10310008127147174,-0.0862686011860746,0.0570920837068447
TextFooler,0.4660263840591709,0.5300600266041443,0.0845973981827031,0.1879818218616032,-0.34609280369494383,-0.36471726454329323,-0.14392024605495557,0.1605575811825049
