,Exact Match,F1 Score,BLEU Score,Avg Grammatical Errors,Exact Match Diff,F1 Score Diff,BLEU Score Diff,Avg Grammatical Errors Diff
No Attack,1.1517950726206793e-05,0.0241543825288909,0.0040052841087862,0.2306354453415648,0.0,0.0,0.0,0.0
AddAny,2.9435572889837368e-05,0.0316416811961755,0.0055299718511992,0.7957465597174185,1.7917622163630576e-05,0.007487298667284599,0.0015246877424130003,0.5651111143758537
AddSent,1.4717786444918684e-05,0.0390061263135812,0.0068852546564168,1.009213334314519,3.199835718711891e-06,0.0148517437846903,0.0028799705476305996,0.7785778889729543
CEIA,0.0,0.0334369422423324,0.0044116808995114,0.7614766236513645,-1.1517950726206793e-05,0.009282559713441503,0.00040639679072519957,0.5308411783097997
DPAEG,1.7811659512316764e-05,0.0328398980017209,0.0043094905929826,0.7288352955844896,6.293708786109971e-06,0.008685515472830002,0.00030420648419639956,0.4981998502429248
TextFooler,1.839892550275064e-05,0.0309635644271391,0.0039423771394912,0.683096907140623,6.880974776543846e-06,0.0068091818982482025,-6.290696929499989e-05,0.4524614617990582
