,Exact Match,F1 Score,BLEU Score,Avg Grammatical Errors,Exact Match Diff,F1 Score Diff,BLEU Score Diff,Avg Grammatical Errors Diff
No Attack,0.6917566026652539,0.8475391055390096,0.1807063151052004,0.0110226788449799,0.0,0.0,0.0,0.0
AddAny,0.6669217749650452,0.8458035280227141,0.1683509292796945,0.0291559349473839,-0.024834827700208617,-0.0017355775162954945,-0.01235538582550591,0.018133256102404
AddSent,0.667142541761719,0.8437430128709541,0.1678485511228276,0.0330414305688424,-0.024614060903534796,-0.003796092668055473,-0.012857763982372816,0.0220187517238625
CEIA,0.7893484239475355,0.8882826395173515,0.1403528056004597,0.0211021789718637,0.09759182128228161,0.04074353397834196,-0.0403535095047407,0.0100795001268838
DPAEG,0.635003473273605,0.7325791491835506,0.1108498168672124,0.0315622606558253,-0.05675312939164889,-0.11495995635545897,-0.06985649823798801,0.0205395818108454
TextFooler,0.3699471950838071,0.45081068893301,0.061804264123141,0.0349211606042207,-0.32180940758144677,-0.39672841660599956,-0.11890205098205942,0.0238984817592408
