,Exact Match,F1 Score,BLEU Score,Avg Grammatical Errors,Exact Match Diff,F1 Score Diff,BLEU Score Diff,Avg Grammatical Errors Diff
No Attack,0.0,0.0349474424804681,0.0063232208400121,1.2473364738945647,0.0,0.0,0.0,0.0
AddAny,1.4717786444918684e-05,0.0273797527256031,0.0042224512065376,0.6133195967326515,1.4717786444918684e-05,-0.007567689754864999,-0.0021007696334745,-0.6340168771619132
AddSent,0.0,0.0374425618108577,0.0052815024172274,1.8426521451173743,0.0,0.0024951193303896016,-0.0010417184227847001,0.5953156712228096
CEIA,0.0,0.0211715487351189,0.0026125205286104,0.0991996333121782,0.0,-0.013775893745349196,-0.0037107003114017,-1.1481368405823864
DPAEG,1.7811659512316764e-05,0.0202476364056322,0.0024587162384455,0.0817020821829969,1.7811659512316764e-05,-0.014699806074835897,-0.0038645046015666,-1.165634391711568
TextFooler,0.0,0.0198241779381826,0.0024306897856525,0.1458482824603043,0.0,-0.015123264542285499,-0.0038925310543596,-1.1014881914342605
